id,topic,claim,source_url,publisher,date_accessed,method,confidence
P40,paper,"Domain Randomization for Transferring DNNs from Simulation to the Real World — Tobin, Fong, Ray et al., IROS 2017; A Survey of Quantization Methods — Gholami, Kim, Dong et al., 2021; A Comprehensive Survey of Continual Learning — Wang, Zhang, Su, Zhu, TPAMI 2024",https://arxiv.org/abs/1703.06907,arXiv,2026-09-02,fetched,high
P41,paper,"A Region-Based Deep Learning Approach to Automated Retail Checkout — AI City 2022 Track 4 entry; VISTA (arXiv 2204.11024) 3rd place",https://arxiv.org/abs/2204.08584,arXiv,2026-09-02,search-snippet,medium
P37,paper,"Taylor, Emmeline (2016) 'Supermarket self-checkouts and retail theft: the curious case of the SWIPERS', Criminology & Criminal Justice; SWIPERS = seemingly well-intentioned patrons engaging in routine shoplifting",https://www.researchgate.net/publication/263326099_Self-scan_checkouts_and_retail_loss_Understanding_the_risk_and_minimising_the_threat,ResearchGate (secondary),2026-09-02,search-snippet,medium
A01,architecture,"PyPI package `hx711` 1.1.2.3 (mpibpc-mroose) states 'This package requires RPi.GPIO'; API is get_raw_data(times), no get_raw_data_mean",https://pypi.org/project/hx711/,PyPI,2026-09-02,fetched,high
A02,architecture,"mpibpc-mroose/hx711 source: `import RPi.GPIO as GPIO`; public methods reset/power_up/power_down/get_raw_data; no Pi 5 mention",https://github.com/mpibpc-mroose/hx711,GitHub,2026-09-02,fetched,high
A03,architecture,"RPi.GPIO does not work on the Raspberry Pi 5 (RP1 southbridge handles GPIO); rpi-lgpio is a drop-in shim",https://raspberry.tips/en/raspberrypi-tutorials/raspberry-pi-5-gpio-rpigpio-not-working-alternatives,raspberry.tips,2026-09-02,search-snippet,medium
A04,architecture,"gpiozero is the Raspberry Pi Foundation's recommended Python GPIO library, with lgpio as its default backend; works on Pi 1-5",https://gpiozero.readthedocs.io/en/stable/installing.html,gpiozero docs,2026-09-02,search-snippet,medium
A05,architecture,"PySide6 aarch64 wheels on PyPI: 6.6.3.1 and 6.7.3 are manylinux_2_31; 6.8.3, 6.9.3, 6.10.1 and 6.11.2 are manylinux_2_39 (glibc >= 2.39)",https://pypi.org/project/PySide6/#files,PyPI (JSON API),2026-09-02,fetched,high
A06,architecture,"Debian package python3-pyside6.qtwidgets: trixie 6.8.2.1-4; sid/forky 6.10.3",https://packages.debian.org/search?keywords=python3-pyside6.qtwidgets,Debian packages,2026-09-02,fetched,high
A07,architecture,"Debian 13 Trixie ships glibc 2.41 (Python 3.13, GCC 14.2); Debian 12 Bookworm ships glibc 2.36; Raspberry Pi OS Trixie is based on Debian 13",https://pidiylab.com/raspberry-pi-trixie-vs-bookworm/,pidiylab,2026-09-02,search-snippet,medium
A08,architecture,"onnxruntime 1.29.0 ships manylinux_2_28_aarch64 wheels for cp311-cp313",https://pypi.org/project/onnxruntime/#files,PyPI (JSON API),2026-09-02,fetched,high
A09,architecture,"opencv-contrib-python 5.0.0.93 ships manylinux2014/2_28 aarch64 wheels",https://pypi.org/project/opencv-contrib-python/#files,PyPI (JSON API),2026-09-02,fetched,high
A10,architecture,"Odoo Point of Sale is a browser application; peripherals (printers, scales, scanners, cash drawers, customer displays) connect through an IoT box on the store LAN or, for some printers, directly from the browser",https://www.odoo.com/documentation/19.0/applications/sales/point_of_sale/hardware_network.html,Odoo 19 documentation,2026-09-02,fetched,high
A11,architecture,"Raspberry Pi kiosk tutorial: Raspberry Pi OS 64-bit with labwc; commands in ~/.config/labwc/autostart; Chromium --kiosk --noerrdialogs --disable-infobars --no-first-run --start-maximized",https://www.raspberrypi.com/tutorials/how-to-use-a-raspberry-pi-in-kiosk-mode/,Raspberry Pi,2026-09-02,fetched,high
A12,architecture,"Pi engineers (Feb 2024): USB webcams on the Pi 5 are read through uvcvideo / V4L2, not libcamera; one user's Astra Pro camera failed to open in OpenCV",https://forums.raspberrypi.com/viewtopic.php?t=365216,Raspberry Pi forums,2026-09-02,fetched,medium
A13,architecture,"OpenCV ArUco FAQ: single-marker corner positions are relatively inaccurate even after subpixel refinement; chessboard/ChArUco corners are more accurate and recommended for measurement; homography interpolation is sensitive to distortion",https://docs.opencv.org/4.13.0/d1/dcb/tutorial_aruco_faq.html,OpenCV docs,2026-09-02,search-snippet,medium
A14,architecture,"Jegou & Chum, ECCV 2012: mean subtraction handles 'negative evidence' and PCA whitening handles co-occurrences in short-vector image retrieval",https://link.springer.com/chapter/10.1007/978-3-642-33709-3_55,Springer (ECCV 2012),2026-09-02,search-snippet,high
A15,architecture,"OpenCV BackgroundSubtractorMOG2 has a detectShadows flag; shadow models treat a shadowed pixel as same chromaticity with lower intensity",https://docs.opencv.org/4.x/d7/d7b/classcv_1_1BackgroundSubtractorMOG2.html,OpenCV docs,2026-09-02,search-snippet,high
A16,architecture,"Prototypical Networks (Snell et al., NeurIPS 2017): a class is the mean of its support embeddings; queries classified by distance to prototypes",https://www.cs.toronto.edu/~zemel/documents/prototypical_networks_nips_2017.pdf,NeurIPS 2017,2026-09-02,search-snippet,high
A17,architecture,"'A Closer Look at Prototype Classifier for Few-shot Image Classification' (NeurIPS 2022): a single mean vector per class is vulnerable to noise and bias with limited data",https://proceedings.neurips.cc/paper_files/paper/2022/file/a559a5a8aa5ae6682ced009ad97cdb16-Paper-Conference.pdf,NeurIPS 2022,2026-09-02,search-snippet,medium
A18,architecture,"NVIDIA Retail Object Recognition (TAO): encodes items into 2048-d embeddings trained by metric learning and predicts by similarity to a reference space; few-shot by design",https://catalog.ngc.nvidia.com/orgs/nvidia/tao/models/retail_object_recognition,NVIDIA NGC,2026-09-02,search-snippet,medium
A19,architecture,"Qt guidance for long-running work in a GUI: a QObject worker moved to a QThread, results back via signals",https://realpython.com/python-pyqt-qthread/,Real Python,2026-09-02,search-snippet,high
A20,architecture,"HX711 datasheet: DOUT low = data ready; 24 bits shifted out MSB-first on PD_SCK rising edges; 25/26/27 total pulses select channel A gain 128 / B gain 32 / A gain 64; PD_SCK high > 60 us powers down",https://cdn.sparkfun.com/datasheets/Sensors/ForceFlex/hx711_english.pdf,Avia Semiconductor datasheet (SparkFun mirror),2026-09-02,recalled,medium
A21,architecture,"Fetch standard: Access-Control-Allow-Origin '*' is not permitted together with credentials",https://fetch.spec.whatwg.org/#cors-protocol-and-credentials,WHATWG Fetch,2026-09-02,recalled,medium
X01,distribution,"PyInstaller cannot cross-compile: a Windows exe must be built on Windows (GitHub Actions windows-latest used)",https://pyinstaller.org/en/stable/operating-mode.html,PyInstaller docs,2026-09-02,recalled,high
X02,distribution,"windows-latest = Windows Server 2025 image: Python 3.12.10 default (3.10-3.14 cached), Inno Setup 6.7.1 preinstalled, PowerShell 7.6.5, Chocolatey 2.7.4",https://github.com/actions/runner-images/blob/main/images/windows/Windows2025-Readme.md,GitHub runner-images,2026-09-02,fetched,high
X03,distribution,"PyPI win_amd64 wheels: PySide6 6.11.2 cp310-abi3; pyinstaller 6.22.2 py3; onnxruntime 1.29.0 cp311-cp314; opencv-contrib-python 5.0.0.93 cp37-abi3; numpy 2.5.2 cp312+ -> CI Python 3.12",https://pypi.org/project/PySide6/#files,PyPI (JSON API),2026-09-02,fetched,high
X04,distribution,"coremltools 9.0 (10 Nov 2025): macOS arm64 wheels for Python 3.8-3.13; release notes: support for PyTorch 2.7; PyTorch conversion by tracing (ONNX converter no longer part of coremltools)",https://github.com/apple/coremltools/releases,GitHub apple/coremltools,2026-09-02,fetched,high
X05,distribution,"Apple: a free Apple ID can install apps on a personal device with Xcode; enrolment in the Developer Program is needed to distribute apps, access beta software (TestFlight) and use capabilities such as Siri/Apple Pay/iCloud",https://developer.apple.com/help/account/membership/program-enrollment/,Apple Developer,2026-09-02,fetched,high
X06,distribution,"Cloudflare's migration guide: new projects should start with Workers (static assets + server-side); Pages remains supported; user's existing compfinder project already uses wrangler.jsonc with assets.directory",https://developers.cloudflare.com/workers/static-assets/migration-guides/migrate-from-pages/,Cloudflare docs,2026-09-02,search-snippet,medium
X07,distribution,"GitHub Releases: a stable redirect to the newest release's asset exists at /releases/latest/download/<asset>; release assets up to 2 GiB",https://docs.github.com/en/repositories/releasing-projects-on-github/linking-to-releases,GitHub docs,2026-09-02,search-snippet,high
X08,distribution,"softprops/action-gh-release latest tag v3.0.3 (30 Aug 2026); cloudflare/wrangler-action latest v4.0.0 (12 May 2026) (read via gh api)",https://github.com/softprops/action-gh-release/releases,GitHub,2026-09-02,fetched,high
X09,distribution,"Ultralytics licensing page: AGPL-3.0 compliance means publicly releasing the complete corresponding source of the derivative work; an Enterprise License is needed to keep a project closed -> the v3 .pt weights are excluded from the public repo",https://www.ultralytics.com/license,Ultralytics,2026-09-02,fetched,high
X10,distribution,"GRDB.swift Package.swift: swift-tools-version 6.1; platforms iOS 13, macOS 10.15, tvOS 13, watchOS 7",https://raw.githubusercontent.com/groue/GRDB.swift/master/Package.swift,GitHub groue/GRDB.swift,2026-09-02,fetched,high
X11,distribution,"Azure Trusted Signing (Artifact Signing) individual eligibility limited to US/Canada/EU/UK residents; Basic USD 9.99/month (search summary, not re-verified) -> installer ships unsigned",https://azure.microsoft.com/en-gb/pricing/details/trusted-signing/,Microsoft Azure,2026-09-02,search-snippet,medium
X12,distribution,"Measured on this Mac: PyInstaller onedir bundle of the till = 414 MB; Core ML export of the embedder = 2.0 MB, worst cosine vs ONNX 0.9994 over 12 synthetic crops; frozen Windows exe printed 'self-test ok' on the runner (run 33658161295)",https://github.com/TheKaito2/ai-cashier/actions,GitHub Actions,2026-09-02,measured,high
X13,benchmark,"Grocery Store dataset (Klasson, Zhang, Kjellstrom, WACV 2019): GitHub repo marcusklasson/GroceryStoreDataset, MIT licence, repo 116 MB (GitHub API size 118,944 KB); images in-repo under dataset/{train,val,test}/<Group>/<Coarse>/<Fine>/; train.txt 2,640 lines, val 296, test 2,485; classes.csv 81 fine classes -> 42 coarse with one iconic image per class; Packages group = 31 fine classes / 864 training images",https://github.com/marcusklasson/GroceryStoreDataset,GitHub (API + raw files),2026-09-03,fetched,high
X14,benchmark,"RPC dataset download is a 15 GB Kaggle archive (retail_product_checkout.zip) with a Baidu mirror; GroceryVision (PRAW/WACV 2026) is distributed through a Kaggle challenge page - both need a Kaggle login, which this machine does not have",https://rpc-dataset.github.io/,RPC authors + grocery-vision.github.io,2026-09-03,fetched,high
X15,benchmark,"Measured, E9 on Grocery Store with the frozen MobileNetV3-Small ImageNet trunk (whole photo as crop, unseen half scored): top-1 at k=5 = 45.8% (31 carton classes) / 59.7% (all 81); iconic-first enrolment k=1 = 29.8%; open-set AUROC of max-cosine 0.668 (packages) and 0.365 (all) - the synthetic tau does not transfer and the encoder is the lever",research/results/E9-*.json,this repo,2026-09-03,measured,high
X16,benchmark,"Measured, same run: the till's frozen-centre cosine beats raw cosine on natural photographs at every k (packages, k=1/3/5: 33.7/47.7/45.8% vs 28.8/43.2/41.7%) - the F5 centring fix holds on real images",research/results/E9-packages.json,this repo,2026-09-03,measured,high
